epoch,step,train_loss,val_loss
0,0,,1.0342252254486084
1,1,,0.9869595766067505
2,2,,0.9459264874458313
3,3,,0.9040709137916565
4,4,,0.8607791066169739
5,5,,0.8146136999130249
6,6,,0.7671941518783569
7,7,,0.7201467752456665
8,8,,0.6730548739433289
9,9,,0.6260566115379333
10,10,,0.5798634886741638
11,11,,0.5349132418632507
12,12,,0.4916912615299225
13,13,,0.45096927881240845
14,14,,0.41291722655296326
15,15,,0.3771236836910248
16,16,,0.3439001739025116
17,17,,0.3129633367061615
18,18,,0.28417879343032837
19,19,,0.2577148675918579
20,20,,0.23341353237628937
21,21,,0.211567685008049
22,22,,0.19272981584072113
23,23,,0.1767512410879135
24,24,,0.1634916365146637
25,25,,0.15271034836769104
26,26,,0.14392486214637756
27,27,,0.13606610894203186
28,28,,0.1281241774559021
29,29,,0.11952213943004608
30,30,,0.11016684770584106
31,31,,0.10070853680372238
32,32,,0.09191226959228516
33,33,,0.08544648438692093
34,34,,0.08134989440441132
35,35,,0.07967431843280792
36,36,,0.08013226836919785
37,37,,0.08229776471853256
38,38,,0.08544337004423141
39,39,,0.08864624798297882
40,40,,0.0914989784359932
41,41,,0.09365887939929962
42,42,,0.0948297306895256
43,43,,0.09469606727361679
44,44,,0.09314679354429245
45,45,,0.09046092629432678
46,46,,0.08649662882089615
47,47,,0.08115752041339874
48,48,,0.07495346665382385
49,49,0.0553782619535923,
49,49,,0.06835763901472092
50,50,,0.06198885664343834
51,51,,0.05639001354575157
52,52,,0.05184418708086014
53,53,,0.048285480588674545
54,54,,0.045440491288900375
55,55,,0.042950406670570374
56,56,,0.04055269435048103
57,57,,0.038193825632333755
58,58,,0.03598163649439812
59,59,,0.03409852832555771
60,60,,0.03260861709713936
61,61,,0.031463541090488434
62,62,,0.030519191175699234
63,63,,0.02960587665438652
64,64,,0.02858295477926731
65,65,,0.027426987886428833
66,66,,0.026204677298665047
67,67,,0.02500273659825325
68,68,,0.023871222510933876
69,69,,0.022825440391898155
70,70,,0.021814443171024323
71,71,,0.02079128473997116
72,72,,0.019738944247364998
73,73,,0.0186858382076025
74,74,,0.01769554242491722
75,75,,0.01682252809405327
76,76,,0.016112349927425385
77,77,,0.015587389469146729
78,78,,0.01522206049412489
79,79,,0.014938811771571636
80,80,,0.014645022340118885
81,81,,0.014282877556979656
82,82,,0.013884053565561771
83,83,,0.013527806848287582
84,84,,0.013282941654324532
85,85,,0.013151044957339764
86,86,,0.01306479424238205
87,87,,0.012933675199747086
88,88,,0.012694474309682846
89,89,,0.012353295460343361
90,90,,0.011968356557190418
91,91,,0.011612508445978165
92,92,,0.011285732500255108
93,93,,0.011043712496757507
94,94,,0.010832796804606915
95,95,,0.010597617365419865
96,96,,0.010343004018068314
97,97,,0.010090015828609467
98,98,,0.009903732687234879
99,99,0.03888284042477608,
99,99,,0.009770161472260952
100,100,,0.009673344902694225
101,101,,0.009569291956722736
102,102,,0.009428172372281551
103,103,,0.009257151745259762
104,104,,0.00908279325813055
105,105,,0.0089381979778409
106,106,,0.008778927847743034
107,107,,0.008674765937030315
108,108,,0.008620806969702244
109,109,,0.008554600179195404
110,110,,0.008488458581268787
111,111,,0.008386285044252872
112,112,,0.008300943300127983
113,113,,0.008249131962656975
114,114,,0.008230218663811684
115,115,,0.0082255182787776
116,116,,0.008213036693632603
117,117,,0.0081577617675066
118,118,,0.008078365586698055
119,119,,0.008021491579711437
120,120,,0.008030015043914318
121,121,,0.007969940081238747
122,122,,0.007914382964372635
123,123,,0.007858015596866608
124,124,,0.007833088748157024
125,125,,0.00780063821002841
126,126,,0.007789233233779669
127,127,,0.007765422109514475
128,128,,0.007773565128445625
129,129,,0.007798326667398214
130,130,,0.00781258661299944
131,131,,0.007796531543135643
132,132,,0.007717228960245848
133,133,,0.0076673696748912334
134,134,,0.007550093345344067
135,135,,0.007476048078387976
136,136,,0.007474523037672043
137,137,,0.007461411412805319
138,138,,0.0073723928071558475
139,139,,0.00719974422827363
140,140,,0.007112500257790089
141,141,,0.007162734400480986
142,142,,0.007242125459015369
143,143,,0.007311469409614801
144,144,,0.007335348520427942
145,145,,0.007344979327172041
146,146,,0.0073287468403577805
147,147,,0.007171920035034418
148,148,,0.0071899727918207645
149,149,0.03009723499417305,
149,149,,0.007249807473272085
150,150,,0.0072703491896390915
151,151,,0.00712946942076087
152,152,,0.006944860331714153
153,153,,0.006836422719061375
154,154,,0.006929322145879269
155,155,,0.0071306112222373486
156,156,,0.007151493802666664
157,157,,0.006971009541302919
158,158,,0.0067405398003757
159,159,,0.006516882684081793
160,160,,0.006548522971570492
161,161,,0.006734087597578764
162,162,,0.006881491281092167
163,163,,0.006882765796035528
164,164,,0.006796285510063171
165,165,,0.006591868121176958
166,166,,0.00639526778832078
167,167,,0.006405269261449575
168,168,,0.0065031652338802814
169,169,,0.0065802098251879215
170,170,,0.0063930475153028965
171,171,,0.0063782790675759315
172,172,,0.00655615096911788
173,173,,0.0064987787045538425
174,174,,0.006229276768863201
175,175,,0.005977592896670103
176,176,,0.006128987763077021
177,177,,0.006329563912004232
178,178,,0.0064964438788592815
179,179,,0.006350215524435043
180,180,,0.0059930807910859585
181,181,,0.0058311461471021175
182,182,,0.006030772812664509
183,183,,0.006461783777922392
184,184,,0.00691940588876605
185,185,,0.006839209236204624
186,186,,0.006490164902061224
187,187,,0.0062244045548141
188,188,,0.006252190563827753
189,189,,0.0063094100914895535
190,190,,0.006275602150708437
191,191,,0.006341530010104179
192,192,,0.006060723215341568
193,193,,0.005483232904225588
194,194,,0.005148221738636494
195,195,,0.005259029101580381
196,196,,0.005702074617147446
197,197,,0.00605250196531415
198,198,,0.006172602530568838
199,199,0.015339452773332596,
199,199,,0.006360576022416353
200,200,,0.006824980024248362
201,201,,0.007612962741404772
202,202,,0.008205365389585495
203,203,,0.007901234552264214
204,204,,0.006727602332830429
205,205,,0.005894198082387447
206,206,,0.005742731038480997
207,207,,0.005980459973216057
208,208,,0.005868214648216963
209,209,,0.005391772836446762
210,210,,0.005250720307230949
211,211,,0.005615759175270796
212,212,,0.006093591917306185
213,213,,0.006161315832287073
214,214,,0.005758080165833235
215,215,,0.0056284768506884575
216,216,,0.005917870905250311
217,217,,0.006224067881703377
218,218,,0.006315716076642275
219,219,,0.006281152833253145
220,220,,0.006321863271296024
221,221,,0.006501269061118364
222,222,,0.006814766675233841
223,223,,0.0071366168558597565
224,224,,0.007236633915454149
225,225,,0.007273423485457897
226,226,,0.007262845523655415
227,227,,0.007159034721553326
228,228,,0.006930398289114237
229,229,,0.00671102199703455
230,230,,0.006913362070918083
231,231,,0.007366521283984184
232,232,,0.007993669249117374
233,233,,0.008352143689990044
234,234,,0.008530364371836185
235,235,,0.008623729459941387
236,236,,0.008589059114456177
237,237,,0.008750607259571552
238,238,,0.008964478969573975
239,239,,0.009215688332915306
240,240,,0.009635033085942268
241,241,,0.01001532468944788
242,242,,0.009948918595910072
243,243,,0.00984460674226284
