epoch,step,test_loss,train_loss,val_loss
0,0,,,1.0357112884521484
1,1,,,0.9351837635040283
2,2,,,0.8489195108413696
3,3,,,0.7769452333450317
4,4,,,0.7159895300865173
5,5,,,0.6611743569374084
6,6,,,0.6089708805084229
7,7,,,0.559749960899353
8,8,,,0.5133781433105469
9,9,,,0.4696526527404785
10,10,,,0.4285737872123718
11,11,,,0.3902311325073242
12,12,,,0.3560195565223694
13,13,,,0.32696762681007385
14,14,,,0.30312180519104004
15,15,,,0.2836361825466156
16,16,,,0.2675485908985138
17,17,,,0.253429651260376
18,18,,,0.23964621126651764
19,19,,,0.22484606504440308
20,20,,,0.20888055860996246
21,21,,,0.19235509634017944
22,22,,,0.17615579068660736
23,23,,,0.16145507991313934
24,24,,,0.1488371193408966
25,25,,,0.13781629502773285
26,26,,,0.1276433914899826
27,27,,,0.11733735352754593
28,28,,,0.10673273354768753
29,29,,,0.09602368623018265
30,30,,,0.08616809546947479
31,31,,,0.07811642438173294
32,32,,,0.07261990010738373
33,33,,,0.06914293766021729
34,34,,,0.06688451021909714
35,35,,,0.06473521888256073
36,36,,,0.061815984547138214
37,37,,,0.05785133317112923
38,38,,,0.05310095474123955
39,39,,,0.04826558753848076
40,40,,,0.043825071305036545
41,41,,,0.039937250316143036
42,42,,,0.03645595163106918
43,43,,,0.03312147036194801
44,44,,,0.029753459617495537
45,45,,,0.026600364595651627
46,46,,,0.0238149743527174
47,47,,,0.021554404869675636
48,48,,,0.019905971363186836
49,49,,0.0491892471909523,
49,49,,,0.01876690797507763
50,50,,,0.017931438982486725
51,51,,,0.01716064102947712
52,52,,,0.01633387617766857
53,53,,,0.015496917068958282
54,54,,,0.01476992666721344
55,55,,,0.014251657761633396
56,56,,,0.013943564146757126
57,57,,,0.013701651245355606
58,58,,,0.013382425531744957
59,59,,,0.01291196420788765
60,60,,,0.012355479411780834
61,61,,,0.011922004632651806
62,62,,,0.011980893090367317
63,63,,,0.012172980234026909
64,64,,,0.012422660365700722
65,65,,,0.01265003252774477
66,66,,,0.012836518697440624
67,67,,,0.012995642609894276
68,68,,,0.013121427036821842
69,69,,,0.01313889678567648
70,70,,,0.01302918791770935
71,71,,,0.012877422384917736
72,72,,,0.012706782668828964
73,73,,,0.012513897381722927
74,74,,,0.012251944281160831
75,75,,,0.011909647844731808
76,76,,,0.011403477750718594
77,77,,,0.010895919054746628
78,78,,,0.010564709082245827
79,79,,,0.010451938025653362
80,80,,,0.010462652891874313
81,81,,,0.010472985915839672
82,82,,,0.010359485633671284
83,83,,,0.010090247727930546
84,84,,,0.00965786911547184
85,85,,,0.009159971959888935
86,86,,,0.008642127737402916
87,87,,,0.008161410689353943
88,88,,,0.0078038680367171764
89,89,,,0.007600960787385702
90,90,,,0.007476631551980972
91,91,,,0.0073964716866612434
92,92,,,0.007376715540885925
93,93,,,0.00732223829254508
94,94,,,0.007139884401112795
95,95,,,0.0068420059978961945
96,96,,,0.0064864144660532475
97,97,,,0.006221488118171692
98,98,,,0.006132895592600107
99,99,,0.034806977957487106,
99,99,,,0.0062186624854803085
100,100,,,0.006353204604238272
101,101,,,0.00634527625516057
102,102,,,0.006246737204492092
103,103,,,0.006009434815496206
104,104,,,0.005764329340308905
105,105,,,0.005656576249748468
106,106,,,0.005651941988617182
107,107,,,0.0057576000690460205
108,108,,,0.005818658508360386
109,109,,,0.0056524681858718395
110,110,,,0.005306474398821592
111,111,,,0.005083673167973757
112,112,,,0.005088754929602146
113,113,,,0.00522188562899828
114,114,,,0.005163805093616247
115,115,,,0.004873894155025482
116,116,,,0.00461950246244669
117,117,,,0.00448980089277029
118,118,,,0.004469593986868858
119,119,,,0.004385382868349552
120,120,,,0.00425244914367795
121,121,,,0.004134544171392918
122,122,,,0.004018603824079037
123,123,,,0.0039628311060369015
124,124,,,0.003942896146327257
125,125,,,0.0038823336362838745
126,126,,,0.00385415181517601
127,127,,,0.003779119113460183
128,128,,,0.003663312876597047
129,129,,,0.003777389880269766
130,130,,,0.003968430683016777
131,131,,,0.004027918912470341
132,132,,,0.0037928179372102022
133,133,,,0.0035675938706845045
134,134,,,0.0036269952543079853
135,135,,,0.0038909262511879206
136,136,,,0.0038251192308962345
137,137,,,0.0034841604065150023
138,138,,,0.003251326270401478
139,139,,,0.0032735459972172976
140,140,,,0.0033644132781773806
141,141,,,0.00333935278467834
142,142,,,0.0032057599164545536
143,143,,,0.0032172154169529676
144,144,,,0.0032828354742377996
145,145,,,0.003347791964188218
146,146,,,0.003252779832109809
147,147,,,0.003120499663054943
148,148,,,0.0031214598566293716
149,149,,0.025889595970511436,
149,149,,,0.003194535616785288
150,150,,,0.0031253278721123934
151,151,,,0.0030621462501585484
152,152,,,0.0030537163838744164
153,153,,,0.0030191736295819283
154,154,,,0.002951962873339653
155,155,,,0.002823065733537078
156,156,,,0.002787922974675894
157,157,,,0.002913979347795248
158,158,,,0.002948233624920249
159,159,,,0.0026970140170305967
160,160,,,0.002554510487243533
161,161,,,0.0025738999247550964
162,162,,,0.0027095861732959747
163,163,,,0.002725660800933838
164,164,,,0.0024233839940279722
165,165,,,0.0022809405345469713
166,166,,,0.002444084268063307
167,167,,,0.0025620691012591124
168,168,,,0.0024210158735513687
169,169,,,0.0022422352340072393
170,170,,,0.002285531023517251
171,171,,,0.0025202094111591578
172,172,,,0.002426982158794999
173,173,,,0.0022211428731679916
174,174,,,0.0021550809033215046
175,175,,,0.002194019965827465
176,176,,,0.0020664420444518328
177,177,,,0.001893236069008708
178,178,,,0.0018860746640712023
179,179,,,0.001992636825889349
180,180,,,0.001998998923227191
181,181,,,0.0018847069004550576
182,182,,,0.001828378881327808
183,183,,,0.0018482690211385489
184,184,,,0.0018201903440058231
185,185,,,0.0017768425168469548
186,186,,,0.001717180828563869
187,187,,,0.0016369747463613749
188,188,,,0.0016217341180890799
189,189,,,0.0016874847933650017
190,190,,,0.001639333087950945
191,191,,,0.0015156293520703912
192,192,,,0.0014589587226510048
193,193,,,0.0014967796159908175
194,194,,,0.0014151587383821607
195,195,,,0.0012832744978368282
196,196,,,0.0012316415086388588
197,197,,,0.0012589431134983897
198,198,,,0.0012946734204888344
199,199,,0.013463398441672325,
199,199,,,0.0012644205708056688
200,200,0.002093326533213258,,
